date,wth_stn,count
2012-09-27,FT,73
2012-09-27,LG,150
2012-09-28,CP,455
2012-09-28,FT,63
2012-09-28,LG,185
2012-09-29,CP,274
2012-09-29,FT,45
2012-09-29,LG,166
2012-09-30,CP,292
2012-09-30,FT,46
2012-09-30,LG,111
2012-10-01,CP,351
2012-10-01,FT,47
2012-10-01,LG,157
2012-10-02,CP,377
2012-10-02,FT,65
2012-10-02,LG,151
2012-10-03,CP,317
2012-10-03,FT,45
2012-10-03,LG,140
2012-10-04,CP,356
2012-10-04,FT,62
2012-10-04,LG,136
2012-10-05,CP,444
2012-10-05,FT,66
2012-10-05,LG,183
2012-10-06,CP,318
2012-10-06,FT,52
2012-10-06,LG,130
2012-10-07,CP,290
2012-10-07,FT,53
2012-10-07,LG,138
2012-10-08,CP,237
2012-10-08,FT,37
2012-10-08,LG,102
2012-10-09,CP,390
2012-10-09,FT,63
2012-10-09,LG,117
2012-10-10,CP,398
2012-10-10,FT,63
2012-10-10,LG,179
2012-10-11,CP,416
2012-10-11,FT,70
2012-10-11,LG,171
2012-10-12,CP,372
2012-10-12,FT,61
2012-10-12,LG,161
2012-10-13,CP,335
2012-10-13,FT,62
2012-10-13,LG,150
2012-10-14,CP,343
2012-10-14,FT,54
2012-10-14,LG,120
2012-10-15,CP,365
2012-10-15,FT,59
2012-10-15,LG,183
2012-10-16,CP,389
2012-10-16,FT,71
2012-10-16,LG,142
2012-10-17,CP,402
2012-10-17,FT,70
2012-10-17,LG,143
2012-10-18,CP,413
2012-10-18,FT,84
2012-10-18,LG,133
2012-10-19,CP,465
2012-10-19,FT,88
2012-10-19,LG,185
2012-10-20,CP,348
2012-10-20,FT,76
2012-10-20,LG,163
2012-10-21,CP,246
2012-10-21,FT,56
2012-10-21,LG,124
2012-10-22,CP,385
2012-10-22,FT,54
2012-10-22,LG,170
2012-10-23,CP,327
2012-10-23,FT,59
2012-10-23,LG,136
2012-10-24,CP,329
2012-10-24,FT,60
2012-10-24,LG,105
2012-10-25,CP,338
2012-10-25,FT,49
2012-10-25,LG,124
2012-10-26,CP,378
2012-10-26,FT,56
2012-10-26,LG,164
2012-10-27,CP,331
2012-10-27,FT,58
2012-10-27,LG,135
2012-10-28,CP,245
2012-10-28,FT,40
2012-10-28,LG,118
2012-10-29,CP,183
2012-10-29,FT,24
2012-10-29,LG,91
2012-10-30,CP,237
2012-10-30,FT,34
2012-10-30,LG,101
2012-10-31,CP,347
2012-10-31,FT,41
2012-10-31,LG,161
2012-11-01,CP,271
2012-11-01,FT,40
2012-11-01,LG,128
2012-11-02,CP,202
2012-11-02,FT,36
2012-11-02,LG,107
2012-11-03,CP,182
2012-11-03,FT,48
2012-11-03,LG,77
2012-11-04,CP,210
2012-11-04,FT,27
2012-11-04,LG,107
2012-11-05,CP,309
2012-11-05,FT,48
2012-11-05,LG,122
2012-11-06,CP,339
2012-11-06,FT,55
2012-11-06,LG,120
2012-11-07,CP,444
2012-11-07,FT,75
2012-11-07,LG,199
2012-11-08,CP,325
2012-11-08,FT,60
2012-11-08,LG,165
2012-11-09,CP,464
2012-11-09,FT,82
2012-11-09,LG,142
2012-11-10,CP,264
2012-11-10,FT,64
2012-11-10,LG,116
2012-11-11,CP,304
2012-11-11,FT,61
2012-11-11,LG,161
