date,latitude,longitude,unique_key,cp_sum_sqrd,lg_sum_sqrd,ft_sum_sqrd
2015-12-09,,,3350073,,,
2015-11-03,,,3328458,,,
2015-11-16,,,3336735,,,
2015-11-09,,,3332167,,,
2015-11-16,,,3335983,,,
2015-11-04,,,3328901,,,
2015-10-31,,,3327584,,,
2015-10-30,,,3327296,,,
2015-11-17,,,3336447,,,
2015-11-02,,,3327708,,,
2015-10-31,,,3326112,,,
2015-11-03,,,3329115,,,
2015-11-10,,,3332099,,,
2015-11-12,,,3333810,,,
2015-11-20,,,3339088,,,
2015-10-27,,,3324662,,,
2015-10-24,,,3321483,,,
2015-10-10,,,3313268,,,
2015-10-20,,,3319676,,,
2015-10-26,,,3322675,,,
2015-10-27,,,3324308,,,
2020-06-13,,,4320313,,,
2020-06-18,,,4321085,,,
2020-01-22,,,4277961,,,
2020-02-21,,,4292322,,,
2020-03-23,,,4303561,,,
2020-02-20,,,4291771,,,
2020-02-21,,,4291767,,,
2020-03-09,,,4307162,,,
2020-02-27,,,4294504,,,
2020-03-12,,,4299626,,,
2020-03-13,,,4300704,,,
2020-02-09,,,4286525,,,
2020-02-07,,,4286329,,,
2020-02-07,,,4286110,,,
2020-01-02,,,4270955,,,
2020-01-03,,,4269371,,,
2019-12-15,,,4258313,,,
2019-12-30,,,4266880,,,
2019-11-18,,,4272742,,,
2019-12-09,,,4255045,,,
2019-11-01,,,4234772,,,
2019-10-20,,,4226467,,,
2019-11-03,,,4235498,,,
2019-10-25,,,4230854,,,
2019-10-30,,,4232438,,,
2019-09-25,,,4215255,,,
2019-09-22,,,4211280,,,
2019-10-10,,,4221740,,,
2019-10-12,,,4222069,,,
2019-09-12,,,4207508,,,
2019-08-29,,,4196888,,,
2019-09-06,,,4201497,,,
2015-10-08,,,3311412,,,
2015-10-28,,,3324118,,,
2015-10-28,,,3325077,,,
2015-10-27,,,3324259,,,
2015-10-22,,,3320459,,,
2015-10-27,,,3323404,,,
2015-10-16,,,3316428,,,
2015-10-09,,,3312037,,,
2015-10-14,,,3316379,,,
2015-10-06,,,3309926,,,
2015-10-02,,,3307389,,,
2015-10-02,,,3307413,,,
2015-10-03,,,3308221,,,
2015-10-02,,,3350070,,,
2015-09-02,,,3289660,,,
2015-09-02,,,3289457,,,
2015-07-19,,,3261599,,,
2015-09-17,,,3298404,,,
2015-09-28,,,3305844,,,
2015-09-19,,,3300823,,,
2015-09-22,,,3302161,,,
2015-09-20,,,3301010,,,
2015-09-26,,,3303778,,,
2015-09-18,,,3299023,,,
2015-09-26,,,3304573,,,
2015-09-21,,,3301873,,,
2015-08-11,,,3276064,,,
2015-08-31,,,3288537,,,
2015-08-13,,,3276589,,,
2015-08-19,,,3280305,,,
2015-08-17,,,3280062,,,
2015-08-26,,,3285652,,,
2015-08-12,,,3277095,,,
2015-08-29,,,3286314,,,
2015-08-29,,,3286301,,,
2015-08-29,,,3286683,,,
2015-08-08,,,3273767,,,
2015-07-23,,,3263821,,,
2015-08-08,,,3273559,,,
2015-07-19,,,3260667,,,
2015-07-31,,,3268722,,,
2015-08-09,,,3274521,,,
2015-07-17,,,3261273,,,
2015-07-21,,,3263448,,,
2015-07-25,,,3265363,,,
2015-08-03,,,3271375,,,
2015-07-18,,,3261551,,,
2015-07-15,,,3258870,,,
2015-07-12,,,3256418,,,
2015-05-31,,,3230922,,,
2015-07-10,,,3255805,,,
2015-06-22,,,3245004,,,
2015-06-22,,,3244205,,,
2015-06-16,,,3240630,,,
2015-07-01,,,3253245,,,
2015-07-08,,,3254597,,,
2015-06-23,,,3245832,,,
2015-06-19,,,3242572,,,
2015-06-21,,,3242839,,,
2015-06-30,,,3250618,,,
2015-06-06,,,3234717,,,
2015-06-14,,,3239183,,,
2015-05-29,,,3229809,,,
2015-05-23,,,3226562,,,
2015-06-13,,,3239278,,,
2015-06-15,,,3241875,,,
2015-05-29,,,3230467,,,
2015-05-24,,,3226686,,,
2015-06-11,,,3238957,,,
2015-06-05,,,3234828,,,
2015-05-29,,,3231247,,,
2015-06-08,,,3236814,,,
2015-06-09,,,3236579,,,
2015-06-12,,,3238642,,,
2015-05-14,,,3223322,,,
2015-05-20,,,3225235,,,
2015-05-14,,,3220490,,,
2015-05-03,,,3213490,,,
2015-05-01,,,3212462,,,
2015-05-11,,,3219391,,,
2015-05-20,,,3224212,,,
2015-05-10,,,3218754,,,
2015-05-04,,,3214183,,,
2015-05-05,,,3215483,,,
2015-04-21,,,3207004,,,
2019-07-25,,,4177338,,,
2019-07-25,,,4176637,,,
2019-08-08,,,4185347,,,
2019-08-09,,,4185423,,,
2019-07-31,,,4180651,,,
2019-07-22,,,4176996,,,
