date,latitude,longitude,unique_key,cp_sum_sqrd,lg_sum_sqrd,ft_sum_sqrd,minDistance,wth_stn
2016-02-23,,,3393361,,,,0,CP
2016-03-02,,,3397869,,,,0,CP
2016-03-03,,,3399590,,,,0,CP
2016-02-26,,,3395358,,,,0,CP
2016-02-25,,,3395416,,,,0,CP
2016-02-29,,,3396994,,,,0,CP
2016-02-13,,,3388942,,,,0,CP
2016-01-26,,,3377401,,,,0,CP
2016-01-28,,,3379506,,,,0,CP
2016-01-30,,,3380572,,,,0,CP
2016-02-03,,,3382747,,,,0,CP
2016-02-05,,,3384885,,,,0,CP
2016-01-26,,,3377700,,,,0,CP
2016-01-28,,,3379644,,,,0,CP
2016-02-03,,,3383133,,,,0,CP
2016-02-08,,,3386497,,,,0,CP
2016-02-15,,,3394696,,,,0,CP
2016-01-31,,,3380804,,,,0,CP
2016-02-05,,,3384028,,,,0,CP
2016-02-07,,,3385581,,,,0,CP
2016-01-16,,,3374025,,,,0,CP
2016-01-20,,,3376760,,,,0,CP
2015-12-29,,,3361754,,,,0,CP
2016-01-20,,,3375627,,,,0,CP
2015-12-30,,,3362663,,,,0,CP
2016-01-06,,,3366078,,,,0,CP
2016-01-18,,,3373776,,,,0,CP
2016-01-15,,,3371985,,,,0,CP
2016-01-19,,,3375628,,,,0,CP
2015-12-19,,,3355952,,,,0,CP
2015-12-21,,,3362169,,,,0,CP
2015-12-19,,,3356329,,,,0,CP
2015-12-21,,,3357948,,,,0,CP
2015-12-20,,,3358205,,,,0,CP
2015-10-13,,,3315701,,,,0,CP
2015-12-01,,,3346243,,,,0,CP
2015-11-30,,,3344863,,,,0,CP
2015-11-27,,,3343064,,,,0,CP
2015-12-13,,,3352456,,,,0,CP
2015-11-24,,,3341743,,,,0,CP
2015-12-03,,,3346821,,,,0,CP
2015-12-18,,,3355713,,,,0,CP
2015-12-02,,,3345714,,,,0,CP
2015-12-10,,,3352098,,,,0,CP
2015-12-18,,,3355545,,,,0,CP
2015-12-16,,,3354344,,,,0,CP
2015-12-07,,,3348321,,,,0,CP
2015-11-30,,,3345580,,,,0,CP
2015-12-09,,,3350073,,,,0,CP
2015-11-03,,,3328458,,,,0,CP
2015-11-16,,,3336735,,,,0,CP
2015-11-09,,,3332167,,,,0,CP
2015-11-16,,,3335983,,,,0,CP
2015-11-04,,,3328901,,,,0,CP
2015-10-31,,,3327584,,,,0,CP
2015-10-30,,,3327296,,,,0,CP
2015-11-17,,,3336447,,,,0,CP
2015-11-02,,,3327708,,,,0,CP
2015-10-31,,,3326112,,,,0,CP
2015-11-03,,,3329115,,,,0,CP
2015-11-10,,,3332099,,,,0,CP
2015-11-12,,,3333810,,,,0,CP
2015-11-20,,,3339088,,,,0,CP
2015-10-27,,,3324662,,,,0,CP
2015-10-24,,,3321483,,,,0,CP
2015-10-10,,,3313268,,,,0,CP
2015-10-20,,,3319676,,,,0,CP
2015-10-26,,,3322675,,,,0,CP
2015-10-27,,,3324308,,,,0,CP
2020-06-13,,,4320313,,,,0,CP
2020-06-18,,,4321085,,,,0,CP
2020-01-22,,,4277961,,,,0,CP
2020-02-21,,,4292322,,,,0,CP
2020-03-23,,,4303561,,,,0,CP
2020-02-20,,,4291771,,,,0,CP
2020-02-21,,,4291767,,,,0,CP
2020-03-09,,,4307162,,,,0,CP
2020-02-27,,,4294504,,,,0,CP
2020-03-12,,,4299626,,,,0,CP
2020-03-13,,,4300704,,,,0,CP
2020-02-09,,,4286525,,,,0,CP
2020-02-07,,,4286329,,,,0,CP
2020-02-07,,,4286110,,,,0,CP
2020-01-02,,,4270955,,,,0,CP
2020-01-03,,,4269371,,,,0,CP
2019-12-15,,,4258313,,,,0,CP
2019-12-30,,,4266880,,,,0,CP
2019-11-18,,,4272742,,,,0,CP
2019-12-09,,,4255045,,,,0,CP
2019-11-01,,,4234772,,,,0,CP
2019-10-20,,,4226467,,,,0,CP
2019-11-03,,,4235498,,,,0,CP
2019-10-25,,,4230854,,,,0,CP
2019-10-30,,,4232438,,,,0,CP
2019-09-25,,,4215255,,,,0,CP
2019-09-22,,,4211280,,,,0,CP
2019-10-10,,,4221740,,,,0,CP
2019-10-12,,,4222069,,,,0,CP
2019-09-12,,,4207508,,,,0,CP
2019-08-29,,,4196888,,,,0,CP
2019-09-06,,,4201497,,,,0,CP
2015-10-08,,,3311412,,,,0,CP
2015-10-28,,,3324118,,,,0,CP
2015-10-28,,,3325077,,,,0,CP
2015-10-27,,,3324259,,,,0,CP
2015-10-22,,,3320459,,,,0,CP
2015-10-27,,,3323404,,,,0,CP
2015-10-16,,,3316428,,,,0,CP
2015-10-09,,,3312037,,,,0,CP
2015-10-14,,,3316379,,,,0,CP
2015-10-06,,,3309926,,,,0,CP
2015-10-02,,,3307389,,,,0,CP
2015-10-02,,,3307413,,,,0,CP
2015-10-03,,,3308221,,,,0,CP
2015-10-02,,,3350070,,,,0,CP
2015-09-02,,,3289660,,,,0,CP
2015-09-02,,,3289457,,,,0,CP
2015-07-19,,,3261599,,,,0,CP
2015-09-17,,,3298404,,,,0,CP
2015-09-28,,,3305844,,,,0,CP
2015-09-19,,,3300823,,,,0,CP
2015-09-22,,,3302161,,,,0,CP
2015-09-20,,,3301010,,,,0,CP
2015-09-26,,,3303778,,,,0,CP
2015-09-18,,,3299023,,,,0,CP
2015-09-26,,,3304573,,,,0,CP
2015-09-21,,,3301873,,,,0,CP
2015-08-11,,,3276064,,,,0,CP
2015-08-31,,,3288537,,,,0,CP
2015-08-13,,,3276589,,,,0,CP
2015-08-19,,,3280305,,,,0,CP
2015-08-17,,,3280062,,,,0,CP
2015-08-26,,,3285652,,,,0,CP
2015-08-12,,,3277095,,,,0,CP
2015-08-29,,,3286314,,,,0,CP
2015-08-29,,,3286301,,,,0,CP
2015-08-29,,,3286683,,,,0,CP
2015-08-08,,,3273767,,,,0,CP
2015-07-23,,,3263821,,,,0,CP
2015-08-08,,,3273559,,,,0,CP
2015-07-19,,,3260667,,,,0,CP
2015-07-31,,,3268722,,,,0,CP
2015-08-09,,,3274521,,,,0,CP
2015-07-17,,,3261273,,,,0,CP
2015-07-21,,,3263448,,,,0,CP
2015-07-25,,,3265363,,,,0,CP
2015-08-03,,,3271375,,,,0,CP
2015-07-18,,,3261551,,,,0,CP
2015-07-15,,,3258870,,,,0,CP
2015-07-12,,,3256418,,,,0,CP
2015-05-31,,,3230922,,,,0,CP
2015-07-10,,,3255805,,,,0,CP
2015-06-22,,,3245004,,,,0,CP
2015-06-22,,,3244205,,,,0,CP
2015-06-16,,,3240630,,,,0,CP
2015-07-01,,,3253245,,,,0,CP
2015-07-08,,,3254597,,,,0,CP
2015-06-23,,,3245832,,,,0,CP
2015-06-19,,,3242572,,,,0,CP
2015-06-21,,,3242839,,,,0,CP
2015-06-30,,,3250618,,,,0,CP
2015-06-06,,,3234717,,,,0,CP
2015-06-14,,,3239183,,,,0,CP
2015-05-29,,,3229809,,,,0,CP
2015-05-23,,,3226562,,,,0,CP
2015-06-13,,,3239278,,,,0,CP
2015-06-15,,,3241875,,,,0,CP
2015-05-29,,,3230467,,,,0,CP
2015-05-24,,,3226686,,,,0,CP
2015-06-11,,,3238957,,,,0,CP
2015-06-05,,,3234828,,,,0,CP
2015-05-29,,,3231247,,,,0,CP
2015-06-08,,,3236814,,,,0,CP
2015-06-09,,,3236579,,,,0,CP
2015-06-12,,,3238642,,,,0,CP
2015-05-14,,,3223322,,,,0,CP
2015-05-20,,,3225235,,,,0,CP
2015-05-14,,,3220490,,,,0,CP
2015-05-03,,,3213490,,,,0,CP
